,Model,Acc_mean,Acc_std,F1_mean,F1_std,F1_std_above_baseline
0,LogReg,0.6451970181043664,0.0028182704846898008,0.28376351534739014,0.007462561742879047,29.170298291708704
1,RF,0.565580404685836,0.0027478514884549587,0.2605214653093331,0.007087650386649607,27.434070730728195
2,XGB,0.6564004259850905,0.0013783761181992242,0.288501895184239,0.0007847189126085908,283.4435723710748
3,SVM,0.5924600638977636,0.005965464545423029,0.2722299617311981,0.0031033701064887348,66.4282993552228
